ISPB,Nome_Reduzido,Número_Código,Participa_da_Compe,Acesso_Principal,Nome_Extenso,Início_da_Operação
05790149,CENTRAL COOPERATIVA DE CRÉDITO NO ESTADO DO ESPÍRITO SANTO,114,Sim,RSFN,Central Cooperativa de Crédito no Estado do Espírito Santo - CECOOP             ,27/10/2011
06271464,BCO BBI S.A.,036,Sim,RSFN,Banco Bradesco BBI S.A.                                                         ,22/04/2002
07207996,BCO BRADESCO FINANC. S.A.,394,Sim,RSFN,Banco Bradesco Financiamentos S.A.                                              ,22/04/2002
07237373,BCO DO NORDESTE DO BRASIL S.A.,004,Sim,RSFN,Banco do Nordeste do Brasil S.A.                                                ,22/04/2002
07450604,BCO CCB BRASIL S.A.,320,Sim,RSFN,China Construction Bank (Brasil) Banco Múltiplo S/A                             ,22/04/2002
07512441,HS FINANCEIRA,189,Não,RSFN,"HS Financeira S/A Crédito, Financiamento e Investimentos                        ",05/06/2017
07652226,LECCA CFI S.A.,105,Não,RSFN,"Lecca Crédito, Financiamento e Investimento S/A                                 ",27/12/2011
07656500,BCO KDB BRASIL S.A.,076,Não,RSFN,Banco KDB do Brasil S.A.                                                        ,10/04/2006
07679404,BANCO TOPÁZIO S.A.,082,Não,RSFN,Banco Topazio S.A.                                                              ,12/06/2009
07853842,CCR DE OURO,286,Não,Internet,Cooperativa de Crédito Rural de Ouro Sulcredi/Ouro                              ,17/09/2018
07945233,PÓLOCRED SCMEPP LTDA.,093,Não,RSFN,Pólocred Sociedade de Crédito ao Microempreendedor e à Empresa de Pequeno Porte ,09/11/2010
08253539,CCR DE SÃO MIGUEL DO OESTE,273,Não,Internet,Cooperativa de Crédito Rural de São Miguel do Oeste - Sulcredi/São Miguel       ,24/04/2018
08561701,PAGSEGURO,290,Não,RSFN,Pagseguro Internet S.A.                                                         ,07/11/2018
09105360,ICAP DO BRASIL CTVM LTDA.,157,Não,RSFN,ICAP do Brasil Corretora de Títulos e Valores Mobiliários Ltda.                 ,12/02/2016
09210106,SOCRED S.A. SCM,183,Não,Internet,Socred S.A. - Sociedade de Crédito ao Microempreendedor                         ,12/06/2017
09274232,NATIXIS BRASIL S.A. BM,014,Não,RSFN,Natixis Brasil S.A. Banco Múltiplo                                              ,08/08/2008
09313766,CARUANA SCFI,130,Não,RSFN,"Caruana S.A. Sociedade de Crédito, Financiamento e Investimento                 ",12/08/2013
09512542,CODEPE CVC S.A.,127,Não,Internet,Codepe Corretora de Valores e Câmbio S.A.                                       ,09/11/2012
09516419,BCO ORIGINAL DO AGRO S/A,079,Não,RSFN,Banco Original do Agronegócio S.A.                                              ,25/07/2008
10264663,BBN BCO BRASILEIRO DE NEGOCIOS S.A.,081,Não,RSFN,BBN Banco Brasileiro de Negocios S.A.                                           ,24/10/2008
10398952,CRESOL CONFEDERAÇÃO,133,Sim,RSFN,Confederação Nacional das Cooperativas Centrais de Crédito e Economia Familiar e,02/05/2016
10664513,BCO AGIBANK S.A.,121,Sim,RSFN,Banco Agibank S.A.                                                              ,04/04/2012
10690848,BCO DA CHINA BRASIL S.A.,083,Sim,RSFN,Banco da China Brasil S.A.                                                      ,14/07/2009
10853017,GET MONEY CC LTDA,138,Não,Internet,Get Money Corretora de Câmbio S.A.                                              ,14/07/2014
10866788,BCO BANDEPE S.A.,024,Não,RSFN,Banco Bandepe S.A.                                                              ,22/04/2002
11703662,BCO CONFIDENCE DE CÂMBIO S.A.,095,Não,RSFN,Banco Confidence de Câmbio S.A.                                                 ,22/06/2010
11758741,BANCO FINAXIS,094,Sim,RSFN,Banco Finaxis S.A.                                                              ,23/08/2010
11932017,STANDARD CHARTERED BI S.A.,118,Não,RSFN,Standard Chartered Bank (Brasil) S.A. Banco de Investimento                     ,26/09/2011
11970623,SENFF S.A. - CFI,276,Não,RSFN,"Senff S.A. - Crédito, Financiamento e Investimento                              ",12/06/2018
12586596,MULTIMONEY CC LTDA.,137,Não,Internet,Multimoney Corretora de Câmbio Ltda                                             ,26/11/2014
12865507,BRK S.A. CFI,092,Não,RSFN,"BRK S.A. Crédito, Financiamento e Investimento                                  ",01/07/2010
13009717,BCO DO EST. DE SE S.A.,047,Sim,RSFN,Banco do Estado de Sergipe S.A.                                                 ,22/04/2002
13059145,BEXS BCO DE CAMBIO S.A.,144,Não,RSFN,Bexs Banco de Câmbio S.A.                                                       ,23/05/2016
13220493,BR PARTNERS BI,126,Não,RSFN,BR Partners Banco de Investimento S.A.                                          ,04/01/2013
13370835,BPP IP S.A.,301,Não,RSFN,BPP Instituição de Pagamento S.A.                                               ,26/09/2018
13486793,BRL TRUST DTVM SA,173,Não,RSFN,BRL Trust Distribuidora de Títulos e Valores Mobiliários S.A.                   ,28/11/2016
13720915,BCO WESTERN UNION,119,Não,RSFN,Banco Western Union do Brasil S.A.                                              ,10/10/2011
14190547,CAMBIONET CC LTDA,309,Não,Internet,Cambionet Corretora de Câmbio Ltda.                                             ,21/11/2018
14388334,PARANA BCO S.A.,254,Sim,RSFN,Parana Banco S. A.                                                              ,22/04/2002
14511781,BARIGUI CH,268,Não,RSFN,Barigui Companhia Hipotecária                                                   ,21/12/2017
15114366,BCO BOCOM BBM S.A.,107,Sim,RSFN,Banco Bocom BBM S.A.                                                            ,22/04/2002
15173776,BCO CAPITAL S.A.,412,Sim,RSFN,Banco Capital S. A.                                                             ,22/04/2002
15357060,BCO WOORI BANK DO BRASIL S.A.,124,Sim,RSFN,Banco Woori Bank do Brasil S.A.                                                 ,09/08/2012
15581638,FACTA S.A. CFI,149,Não,RSFN,Facta Financeira S.A. - Crédito Financiamento e Investimento                    ,08/07/2015
16501555,STONE PAGAMENTOS S.A.,197,Não,RSFN,Stone Pagamentos S.A.                                                           ,18/10/2017
16944141,BROKER BRASIL CC LTDA.,142,Não,RSFN,Broker Brasil Corretora de Câmbio Ltda.                                         ,23/06/2015
17184037,BCO MERCANTIL DO BRASIL S.A.,389,Sim,RSFN,Banco Mercantil do Brasil S.A.                                                  ,22/04/2002
17298092,BCO ITAÚ BBA S.A.,184,Não,RSFN,Banco Itaú BBA S.A.                                                             ,22/04/2002
17351180,BCO TRIANGULO S.A.,634,Sim,RSFN,Banco Triângulo S.A.                                                            ,22/04/2002
17352220,SENSO CCVM S.A.,545,Não,Internet,Senso Corretora de Câmbio e Valores Mobiliários S.A.                            ,27/09/2010
17453575,ICBC DO BRASIL BM S.A.,132,Não,RSFN,ICBC do Brasil Banco Múltiplo S.A.                                              ,26/09/2013
17772370,VIPS CC LTDA.,298,Não,Internet,Vip's Corretora de Câmbio Ltda.                                                 ,15/08/2018
18236120,NU PAGAMENTOS S.A.,260,Não,RSFN,Nu Pagamentos S.A.                                                              ,10/10/2017
18520834,UBS BRASIL BI S.A.,129,Não,RSFN,UBS Brasil Banco de Investimento S.A.                                           ,12/03/2014
19307785,MS BANK S.A. BCO DE CÂMBIO,128,Não,RSFN,MS Bank S.A. Banco de Câmbio                                                    ,27/04/2015
20155248,PARMETAL DTVM LTDA,194,Não,RSFN,Parmetal Distribuidora de Títulos e Valores Mobiliários Ltda.                   ,25/10/2017
22610500,VORTX DTVM LTDA.,310,Não,RSFN,Vortx Distribuidora de Títulos e Valores Mobiliários Ltda.                      ,18/10/2018
23522214,COMMERZBANK BRASIL S.A. - BCO MÚLTIPLO,163,Sim,RSFN,Commerzbank Brasil S.A. - Banco Múltiplo                                        ,10/08/2016
23862762,AVISTA S.A. CFI,280,Não,RSFN,"Avista S.A. Crédito, Financiamento e Investimento                               ",10/05/2018
24074692,GUITTA CC LTDA,146,Não,Internet,Guitta Corretora de Câmbio Ltda.                                                ,20/05/2015
26563270,CCR DE PRIMAVERA DO LESTE,279,Sim,RSFN,Cooperativa de Crédito Rural de Primavera do Leste                              ,05/06/2018
27406222,DACASA FINANCEIRA S/A - SCFI,182,Não,RSFN,"Dacasa Financeira S/A - Sociedade de Crédito, Financiamento e Investimento      ",09/08/2017
27652684,GENIAL INVESTIMENTOS CVM S.A.,278,Não,RSFN,Genial Investimentos Corretora de Valores Mobiliários S.A.                      ,14/05/2018
27842177,IB CCTVM LTDA,271,Não,RSFN,"IB Corretora de Câmbio, Títulos e Valores Mobiliários Ltda.                     ",26/02/2018
28127603,BCO BANESTES S.A.,021,Sim,RSFN,Banestes S.A. Banco do Estado do Espírito Santo                                 ,22/04/2002
28195667,BCO ABC BRASIL S.A.,246,Sim,RSFN,Banco ABC Brasil S.A.                                                           ,22/04/2002
28650236,BS2 DTVM S.A.,292,Não,RSFN,BS2 Distribuidora de Títulos e Valores Mobiliários S.A.                         ,24/10/2018
28719664,B3 Cetip                           ,n/a,Não,RSFN,"B3 SA - Brasil, Bolsa, Balcão - Segmento Cetip UTVM                             ",22/04/2002
29011780,CIP C3                             ,n/a,Não,RSFN,Câmara Interbancária de Pagamentos - CIP C3                                     ,30/01/2012
29030467,SCOTIABANK BRASIL,751,Sim,RSFN,Scotiabank Brasil S.A. Banco Múltiplo                                           ,22/04/2002
30306294,BANCO BTG PACTUAL S.A.,208,Sim,RSFN,Banco BTG Pactual S.A.                                                          ,22/04/2002
30723886,BCO MODAL S.A.,746,Sim,RSFN,Banco Modal S.A.                                                                ,22/04/2002
31597552,BCO CLASSICO S.A.,241,Sim,RSFN,Banco Clássico S.A.                                                             ,22/04/2002
31880826,BCO GUANABARA S.A.,612,Sim,RSFN,Banco Guanabara S.A.                                                            ,22/04/2002
31895683,BCO INDUSTRIAL DO BRASIL S.A.,604,Sim,RSFN,Banco Industrial do Brasil S.A.                                                 ,22/04/2002
32062580,BCO CREDIT SUISSE (BRL) S.A.,505,Sim,RSFN,Banco Credit Suisse (Brasil) S.A.                                               ,22/04/2002
32648370,FAIR CC S.A.,196,Não,Internet,Fair Corretora de Câmbio S.A.                                                   ,11/09/2017
33042151,BCO LA NACION ARGENTINA,300,Sim,RSFN,Banco de la Nacion Argentina                                                    ,22/04/2002
33042953,CITIBANK N.A.,477,Sim,RSFN,Citibank N.A.                                                                   ,22/04/2002
33132044,BCO CEDULA S.A.,266,Sim,RSFN,Banco Cédula S.A.                                                               ,22/04/2002
33147315,BCO BRADESCO BERJ S.A.,122,Sim,RSFN,Banco Bradesco BERJ S.A.                                                        ,08/11/2011
33172537,BCO J.P. MORGAN S.A.,376,Sim,RSFN,Banco J. P. Morgan S. A.                                                        ,22/04/2002
33466988,BCO CAIXA GERAL BRASIL S.A.,473,Sim,RSFN,Banco Caixa Geral - Brasil S.A.                                                 ,31/03/2009
33479023,BCO CITIBANK S.A.,745,Sim,RSFN,Banco Citibank S.A.                                                             ,22/04/2002
33603457,BCO RODOBENS S.A.,120,Sim,RSFN,Banco Rodobens SA                                                               ,06/02/2012
33644196,BCO FATOR S.A.,265,Sim,RSFN,Banco Fator S.A.                                                                ,22/04/2002
33657248,BNDES,007,Não,RSFN,Banco Nacional de Desenvolvimento Econômico e Social BNDES                      ,30/06/2014
33775974,ATIVA S.A. INVESTIMENTOS CCTVM,188,Não,RSFN,Ativa Investimentos S.A. Corretora de Títulos Câmbio e Valores                  ,28/07/2017
33862244,BGC LIQUIDEZ DTVM LTDA,134,Não,RSFN,BGC Liquidez Distribuidora de Títulos e Valores Mobiliários Ltda.               ,28/07/2014
33870163,BCO ALVORADA S.A.,641,Não,RSFN,Banco Alvorada S.A.                                                             ,22/04/2002
33885724,BANCO ITAÚ CONSIGNADO S.A.,029,Não,RSFN,Banco Itaú Consignado S.A.                                                      ,22/04/2002
33923798,BCO MÁXIMA S.A.,243,Sim,RSFN,Banco Máxima S.A.                                                               ,22/04/2002
34111187,HAITONG BI DO BRASIL S.A.,078,Não,RSFN,Haitong Banco de Investimento do Brasil S.A.                                    ,31/07/2008
36113876,OLIVEIRA TRUST DTVM S.A.,111,Não,RSFN,Oliveira Trust Distribuidora de Títulos e Valores Mobiliários S.A.              ,24/03/2011
42272526,BNY MELLON BCO S.A.,017,Sim,RSFN,BNY Mellon Banco S.A.                                                           ,19/11/2012
43180355,PERNAMBUCANAS FINANC S.A. CFI,174,Não,RSFN,"Pernambucanas Financiadora S.A. Crédito, Financiamento e Investimento           ",21/11/2017
44189447,BCO LA PROVINCIA B AIRES BCE,495,Não,RSFN,Banco de La Provincia de Buenos Aires                                           ,22/04/2002
45246410,BRASIL PLURAL S.A. BCO.,125,Sim,RSFN,Brasil Plural S.A. Banco Múltiplo                                               ,19/11/2012
46518205,JPMORGAN CHASE BANK,488,Não,RSFN,"JPMorgan Chase Bank, National Association                                       ",22/04/2002
48795256,BCO ANDBANK S.A.,065,Sim,RSFN,Banco AndBank (Brasil) S.A.                                                     ,22/04/2002
49336860,ING BANK N.V.,492,Não,RSFN,ING Bank N.V.                                                                   ,22/04/2002
50579044,LEVYCAM CCV LTDA,145,Não,Internet,Levycam - Corretora de Câmbio e Valores Ltda.                                   ,16/06/2015
50585090,BCV,250,Não,RSFN,BCV - Banco de Crédito e Varejo S/A                                             ,22/04/2002
51938876,BCO REP ORIENTAL URUGUAY BCE,494,Não,RSFN,Banco de La Republica Oriental del Uruguay                                      ,22/04/2002
52937216,BEXS CC S.A.,253,Não,Internet,Bexs Corretora de Câmbio S/A                                                    ,11/11/2016
53518684,HSBC BANCO DE INVESTIMENTO,269,Não,RSFN,HSBC Brasil S.A. Banco de Investimento                                          ,07/02/2018
54403563,BCO ARBI S.A.,213,Sim,RSFN,Banco Arbi S.A.                                                                 ,22/04/2002
54641030,BMFBOVESPA                         ,n/a,Não,RSFN,"BMF Bovespa S.A. - Bolsa de Valores, Mercadorias e Futuros - Camara BMFBOVESPA  ",22/04/2002
55230916,INTESA SANPAOLO BRASIL S.A. BM,139,Não,RSFN,Intesa Sanpaolo Brasil S.A. - Banco Múltiplo                                    ,08/05/2015
57839805,BCO TRICURY S.A.,018,Sim,RSFN,Banco Tricury S.A.                                                              ,05/08/2013
58160789,BCO SAFRA S.A.,422,Sim,RSFN,Banco Safra S.A.                                                                ,22/04/2002
58497702,BCO INTERCAP S.A.,630,Não,RSFN,Banco Intercap S.A.                                                             ,22/04/2002
58616418,BCO FIBRA S.A.,224,Sim,RSFN,Banco Fibra S.A.                                                                ,22/04/2002
59118133,BCO LUSO BRASILEIRO S.A.,600,Sim,RSFN,Banco Luso Brasileiro S.A.                                                      ,22/04/2002
59285411,BANCO PAN,623,Sim,RSFN,Banco Pan S.A.                                                                  ,22/04/2002
59438325,BCO BRADESCO CARTOES S.A.,204,Sim,RSFN,Banco Bradesco Cartões S.A.                                                     ,22/04/2002
59588111,BCO VOTORANTIM S.A.,655,Sim,RSFN,Banco Votorantim S.A.                                                           ,22/04/2002
60394079,BCO ITAUBANK S.A.,479,Não,RSFN,Banco ItauBank S.A.                                                             ,22/04/2002
60498557,BCO MUFG BRASIL S.A.,456,Sim,RSFN,Banco MUFG Brasil S.A.                                                          ,22/04/2002
60518222,BCO SUMITOMO MITSUI BRASIL S.A.,464,Sim,RSFN,Banco Sumitomo Mitsui Brasileiro S.A.                                           ,22/04/2002
60701190,ITAÚ UNIBANCO S.A.,341,Sim,RSFN,Itaú Unibanco  S.A.                                                             ,22/04/2002
60746948,BCO BRADESCO S.A.,237,Sim,RSFN,Banco Bradesco S.A.                                                             ,22/04/2002
60850229,OMNI BANCO S.A.,613,Sim,RSFN,Omni Banco S.A.                                                                 ,22/04/2002
60872504,ITAÚ UNIBANCO HOLDING S.A.,652,Sim,RSFN,Itaú Unibanco Holding S.A.                                                      ,22/04/2002
60889128,BCO SOFISA S.A.,637,Sim,RSFN,Banco Sofisa S. A.                                                              ,22/04/2002
60934221,BMF Câmbio                         ,n/a,Não,RSFN,"BMF Bovespa S/A - Bolsa de Valores, Mercadorias e Futuros - Camara Cambio       ",22/04/2002
61024352,BCO INDUSVAL S.A.,653,Sim,RSFN,Banco Indusval S. A.                                                            ,22/04/2002
61033106,BCO CREFISA S.A.,069,Sim,RSFN,Banco Crefisa S.A.                                                              ,18/11/2005
61088183,BCO MIZUHO S.A.,370,Não,RSFN,Banco Mizuho do Brasil S.A.                                                     ,22/04/2002
61182408,BANCO INVESTCRED UNIBANCO S.A.,249,Sim,RSFN,Banco Investcred Unibanco S.A.                                                  ,22/04/2002
61186680,BCO BMG S.A.,318,Sim,RSFN,Banco BMG S.A.                                                                  ,22/04/2002
61348538,BCO FICSA S.A.,626,Sim,RSFN,Banco Ficsa S. A.                                                               ,22/04/2002
61444949,SAGITUR CC LTDA,270,Não,Internet,Sagitur Corretora de Câmbio Ltda.                                               ,01/08/2018
61533584,BCO SOCIETE GENERALE BRASIL,366,Sim,RSFN,Banco Société Générale Brasil S.A.                                              ,22/04/2002
61723847,MAGLIANO S.A. CCVM,113,Não,RSFN,Magliano S.A. Corretora de Cambio e Valores Mobiliarios                         ,28/11/2011
61747085,TULLETT PREBON BRASIL CVC LTDA,131,Não,RSFN,Tullett Prebon Brasil Corretora de Valores e Câmbio Ltda.                       ,15/07/2013
61809182,C.SUISSE HEDGING-GRIFFO CV S/A,011,Não,RSFN,Credit Suisse Hedging-Griffo Corretora de Valores S.A.                          ,28/06/2011
61820817,BCO PAULISTA S.A.,611,Sim,RSFN,Banco Paulista S.A.                                                             ,22/04/2002
62073200,BOFA MERRILL LYNCH BM S.A.,755,Sim,RSFN,Bank of America Merrill Lynch Banco Múltiplo S.A.                               ,09/11/2007
62109566,CCR REG MOGIANA,089,Sim,RSFN,Cooperativa de Crédito Rural da Região da Mogiana                               ,30/08/2010
62144175,BCO PINE S.A.,643,Sim,RSFN,Banco Pine S.A.                                                                 ,22/04/2002
62169875,EASYNVEST - TÍTULO CV SA,140,Não,RSFN,Easynvest - Título Corretora de Valores SA                                      ,26/05/2015
62232889,BCO DAYCOVAL S.A,707,Sim,RSFN,Banco Daycoval S.A.                                                             ,22/04/2002
62237649,CAROL DTVM LTDA.,288,Não,Internet,Carol Distribuidora de Títulos e Valores Mobiliários Ltda.                      ,05/07/2018
62287735,RENASCENCA DTVM LTDA,101,Não,RSFN,Renascença Distribuidora de Títulos e Valores Mobiliários Ltda.                 ,22/04/2010
62331228,DEUTSCHE BANK S.A.BCO ALEMAO,487,Sim,RSFN,Deutsche Bank S.A. - Banco Alemão                                               ,22/04/2002
62421979,BANCO CIFRA,233,Não,RSFN,Banco Cifra S.A.                                                                ,22/04/2002
65913436,GUIDE,177,Não,RSFN,Guide Investimentos S.A. Corretora de Valores                                   ,08/05/2017
68900810,BCO RENDIMENTO S.A.,633,Sim,RSFN,Banco Rendimento S.A.                                                           ,22/04/2002
71027866,BCO BS2 S.A.,218,Sim,RSFN,Banco BS2 S.A.                                                                  ,22/04/2002
71371686,BCO OLÉ BONSUCESSO CONSIGNADO S.A.,169,Não,RSFN,Banco Olé Bonsucesso Consignado S.A.                                            ,16/11/2016
71590442,LASTRO RDV DTVM LTDA,293,Não,Internet,Lastro RDV Distribuidora de Títulos e Valores Mobiliários Ltda.                 ,10/09/2018
71677850,FRENTE CC LTDA.,285,Não,Internet,Frente Corretora de Câmbio Ltda.                                                ,25/09/2018
73622748,B&T CC LTDA.,080,Não,Internet,BT Corretora de Câmbio Ltda.                                                    ,18/11/2010
74828799,NOVO BCO CONTINENTAL S.A. - BM,753,Sim,RSFN,Novo Banco Continental S.A. - Banco Múltiplo                                    ,22/04/2002
75647891,BCO CRÉDIT AGRICOLE BR S.A.,222,Sim,RSFN,Banco Credit Agrícole Brasil S.A.                                               ,22/04/2002
76461557,CCR COOPAVEL,281,Não,RSFN,Cooperativa de Crédito Rural Coopavel                                           ,05/11/2018
76543115,BANCO SISTEMA,754,Não,RSFN,Banco Sistema S.A.                                                              ,15/07/2015
78157146,CREDIALIANÇA CCR,098,Sim,RSFN,Credialiança Cooperativa de Crédito Rural                                       ,18/01/2011
78626983,BCO VR S.A.,610,Sim,RSFN,Banco VR S.A.                                                                   ,22/04/2002
78632767,BCO OURINVEST S.A.,712,Não,RSFN,Banco Ourinvest S.A.                                                            ,28/01/2014
81723108,CREDICOAMO,010,Sim,RSFN,Credicoamo Crédito Rural Cooperativa                                            ,10/12/2012
89960090,RB CAPITAL INVESTIMENTOS DTVM LTDA.,283,Não,Internet,RB Capital Investimentos Distribuidora de Títulos e Valores Mobiliários Ltda.   ,05/07/2018
90400888,BCO SANTANDER (BRASIL) S.A.,033,Sim,RSFN,Banco Santander (Brasil) S. A.                                                  ,22/04/2002
91884981,BANCO JOHN DEERE S.A.,217,Sim,RSFN,Banco John Deere S.A.                                                           ,22/04/2002
92702067,BCO DO ESTADO DO RS S.A.,041,Sim,RSFN,Banco do Estado do Rio Grande do Sul S.A.                                       ,22/04/2002
92856905,ADVANCED CC LTDA,117,Não,Internet,Advanced Corretora de Câmbio Ltda.                                              ,03/10/2011
92874270,BCO A.J. RENNER S.A.,654,Sim,RSFN,Banco A. J. Renner S.A.                                                         ,22/04/2002
92894922,BANCO ORIGINAL,212,Sim,RSFN,Banco Original S.A.                                                             ,22/04/2002

